long,lat
-116.97531,43.668243
-116.975323,43.66819
-116.975445,43.668203
-116.975347,43.66815
-116.975317,43.668337
-116.97537,43.668292
-116.975328,43.668163
-116.975337,43.668082
-116.975327,43.668175
-116.975358,43.668142
-116.975358,43.668183
-116.975307,43.668185
-116.9752,43.668177
-116.97523,43.668147
-116.975357,43.668153
-116.975288,43.668113
-116.975308,43.66817
-116.975385,43.668052
-116.97528,43.668228
-116.97534,43.668222
-116.975363,43.668223
-116.975427,43.668255
-116.975332,43.668195
-116.975373,43.66823
-116.975422,43.668245
-116.975373,43.668205
-116.97527,43.668175
-116.975423,43.668258
-116.97536,43.668195
-116.9754,43.668225
-116.975385,43.66821
-116.975392,43.668235
-116.975367,43.6682
-116.975373,43.668212
-116.97532,43.668182
-116.975417,43.668217
-116.97537,43.668195
-116.975292,43.668157
-116.975348,43.668232
-116.975355,43.668215
-116.975437,43.668247
-116.97535,43.66824
-116.975318,43.6682
-116.97532,43.668193
-116.975333,43.668195
-116.975367,43.66821
-116.975378,43.668208
-116.975225,43.668112
-116.975272,43.668162
-116.975323,43.66815
-116.975277,43.668163
-116.975303,43.668173
-116.975355,43.668222
-116.975403,43.668175
-116.975567,43.668313
-116.975307,43.668177
-116.975253,43.668142
-116.975307,43.66819
-116.975282,43.66816
-116.975907,43.668408
-116.975225,43.668158
-116.975238,43.668135
-116.975278,43.668175
-116.975333,43.668175
-116.97538,43.668187
-116.975408,43.668228
-116.975345,43.668177
-116.975212,43.668162
-116.975312,43.668202
-116.975318,43.668167
-116.975287,43.668165
-116.975287,43.668103
-116.975283,43.668122
-116.9752,43.668235
-116.975215,43.668268
-116.975187,43.668148
-116.975228,43.668165
-116.97527,43.66815
-116.97529,43.668147
-116.975413,43.668202
-116.975355,43.668247
-116.975333,43.668145
-116.975263,43.668232
-116.975332,43.668078
-116.97521,43.668185
-116.975257,43.66819
-116.975305,43.668168
-116.975335,43.66821
-116.975315,43.668258
-116.975458,43.668202
-116.975255,43.668153
-116.975232,43.668137
-116.975267,43.668188
-116.956248,43.678198
-116.956215,43.678257
-116.956167,43.67827
-116.956267,43.678163
-116.956272,43.678207
-116.956143,43.678288
-116.956175,43.6782
-116.956158,43.678197
-116.956187,43.678243
-116.956277,43.678245
-116.956213,43.678258
-116.956347,43.678153
-116.95617,43.678232
-116.956257,43.678197
-116.956147,43.678352
-116.956252,43.678235
-116.956212,43.678192
-116.956343,43.678465
-116.955048,43.677767
-116.955042,43.677768
-116.955097,43.677822
-116.955018,43.677772
-116.955078,43.677757
-116.954918,43.677792
-116.955052,43.677753
-116.955097,43.677745
-116.955077,43.677762
-116.95507,43.67777
-116.954968,43.67773
-116.955105,43.677757
-116.955197,43.677777
-116.955035,43.677788
-116.95505,43.677775
-116.954982,43.677792
-116.95505,43.677835
-116.955112,43.67762
-116.955223,43.677898
-116.955018,43.677727
-116.95514,43.677863
-116.955033,43.677803
-116.955082,43.677813
-116.955067,43.677793
-116.954972,43.677767
-116.955078,43.677787
-116.954955,43.677612
-116.957965,43.67807
-116.957518,43.677692
-116.956093,43.676612
-116.95638,43.67464
-116.955187,43.67316
-116.95568,43.672655
-116.955837,43.67282
-116.956855,43.672703
-116.957935,43.672805
-116.957587,43.672623
-116.957935,43.673153
-116.957702,43.67249
-116.957777,43.672452
-116.957815,43.672588
-116.957778,43.67256
-116.957818,43.672545
-116.957772,43.672583
-116.9579,43.672655
-116.957828,43.6726
-116.95763,43.672365
-116.9578,43.672592
-116.957757,43.67243
-116.957747,43.672523
-116.957993,43.672662
-116.957827,43.6728
-116.9578,43.672575
-116.957852,43.672618
-116.957728,43.672643
-116.957762,43.672472
-116.957773,43.67233
-116.957667,43.67262
-116.957283,43.672578
-116.95733,43.672618
-116.957658,43.673023
-116.957852,43.673173
-116.957507,43.67259
-116.957747,43.67288
-116.957698,43.673187
-116.9575,43.672678
-116.958017,43.673685
-116.958027,43.673517
-116.958208,43.672668
-116.957605,43.673575
-116.957623,43.673585
-116.957587,43.672942
-116.95721,43.672807
-116.955832,43.672437
-116.955575,43.671995
-116.953238,43.670793
-116.952213,43.67041
-116.951502,43.669782
-116.950803,43.669115
-116.949707,43.668927
-116.950017,43.669227
-116.95126,43.668852
-116.949728,43.669043
-116.949685,43.669042
-116.949673,43.669037
-116.949695,43.669037
-116.949657,43.669042
-116.949713,43.669038
-116.949685,43.66902
-116.949705,43.66903
-116.94971,43.669038
-116.949722,43.669013
-116.950103,43.668927
-116.950905,43.669323
-116.950357,43.66911
-116.949493,43.669132
-116.952292,43.670122
-116.954618,43.66927
-116.955078,43.668712
-116.957742,43.669038
-116.964815,43.668628
-116.974085,43.670012
-116.974693,43.669543
-116.974512,43.66977
-116.97458,43.669718
-116.974652,43.66977
-116.97446,43.66975
-116.974462,43.669822
-116.974178,43.669692
-116.974562,43.66976
-116.974527,43.669752
-116.974578,43.669768
-116.974512,43.669717
-116.974472,43.669917
-116.974717,43.669795
-116.974487,43.669815
-116.974435,43.669917
-116.97444,43.66986
-116.974712,43.669805
-116.974463,43.669875
-116.974418,43.670032
-116.974518,43.669895
-116.974292,43.66972
-116.974663,43.669902
-116.974438,43.669968
-116.974252,43.670012
-116.974682,43.669897
-116.974483,43.66988
-116.974683,43.66994
-116.974398,43.669967
-116.974232,43.669748
-116.974565,43.669915
-116.974722,43.669905
-116.974628,43.670023
-116.974528,43.669988
-116.974208,43.669937
-116.974332,43.669895
-116.974593,43.669965
-116.974352,43.669883
-116.974215,43.669933
-116.97458,43.669912
-116.974547,43.669905
-116.974547,43.669975
-116.974563,43.66993
-116.974583,43.669935
-116.974613,43.669975
-116.974587,43.669892
-116.974627,43.669928
-116.974518,43.669923
-116.97458,43.669872
-116.974402,43.669915
-116.974543,43.669923
-116.97457,43.66984
-116.974638,43.670017
-116.97455,43.66992
-116.974488,43.66977
-116.97459,43.669837
-116.97459,43.669887
-116.974585,43.669867
-116.974583,43.669878
-116.974603,43.66986
-116.97457,43.669903
-116.974522,43.669828
-116.974543,43.669797
-116.974532,43.669815
-116.97456,43.669935
-116.974537,43.669857
-116.974552,43.669905
-116.974673,43.669922
-116.974557,43.669895
-116.974542,43.669792
-116.974543,43.669922
-116.974565,43.669945
-116.974605,43.669912
-116.974607,43.669852
-116.97459,43.66991
-116.97466,43.66983
-116.97479,43.66969
-116.974627,43.66985
-116.9746,43.669867
-116.974523,43.669933
-116.974495,43.669965
-116.974567,43.669955
-116.974573,43.669858
-116.974588,43.66985
-116.974558,43.6699
-116.974595,43.66991
-116.974507,43.670033
-116.974537,43.669932
-116.974462,43.669998
-116.974493,43.669983
-116.974502,43.669972
-116.9746,43.669897
-116.974573,43.670032
-116.974598,43.67001
-116.97467,43.669873
-116.97462,43.669818
-116.974688,43.669768
-116.974568,43.669862
-116.974587,43.669858
-116.974592,43.66991
-116.974577,43.66992
-116.974595,43.669922
-116.974445,43.670075
-116.974565,43.670018
-116.974528,43.66979
-116.974512,43.669783
-116.974628,43.669768
-116.9745,43.66976
-116.974723,43.669988
-116.974565,43.669713
-116.974583,43.66981
-116.974552,43.669797
-116.974327,43.669703
-116.974598,43.669813
-116.97446,43.669825
-116.974618,43.669808
-116.97452,43.669883
-116.974562,43.66995
-116.974655,43.669695
-116.974617,43.669688
-116.974603,43.66968
-116.97463,43.669717
-116.974652,43.669667
-116.974712,43.669623
-116.974557,43.669702
-116.978477,43.67365
-116.980895,43.677428
-116.980877,43.677472
-116.980885,43.677445
-116.980832,43.67756
-116.980883,43.677402
-116.980848,43.677573
-116.980867,43.677478
-116.9812,43.678702
-116.981132,43.678607
-116.981177,43.678593
-116.981088,43.678587
-116.981168,43.678493
-116.981253,43.678418
-116.981442,43.678375
-116.98229,43.680817
-116.981637,43.681823
-116.981673,43.681958
-116.981615,43.681392
-116.981263,43.682182
-116.98195,43.682045
-116.981652,43.68153
-116.981852,43.68173
-116.982228,43.682982
-116.985157,43.684593
-116.985552,43.684952
-116.984723,43.683793
-116.983758,43.68315
-116.982507,43.682677
-116.982073,43.681648
-116.981545,43.682503
-116.981387,43.682372
-116.981828,43.681602
-116.981472,43.681433
-116.981128,43.682483
-116.98149,43.683137
-116.981068,43.682893
-116.981315,43.682967
-116.981432,43.682977
-116.981223,43.682972
-116.981505,43.68305
-116.981385,43.682992
-116.981402,43.682978
