GeoType,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,citizens,citizensOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,prienv,prienvOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose
CBSA,"Borger, TX",14158,54.803,25.321,44.293,42.047,32.957,38.868,46.391,8.977,47.323,52.769,57.833,29.934,58.921,28.754,51.088,35.061,48.142,40.359,32.879,55.432,37.505,62.488,76.967,20.031,67.043,30.174,51.512,46.638,53.468,43.184,51.222,44.978,74.163,23.252,44.081,52.974,65.546,31.601,67.375,32.794,58.271,17.757,54.259,18.739,47.627,26.466,43.848,22.298,47.019,20.787,59.443,36.757,26.783,73.195,18.35,80.887
CBSA,"Boston-Cambridge-Newton, MA-NH",3268528,76.383,10.672,63.687,26.03,61.071,22.052,69.879,4.856,69.36,30.41,77.832,14.989,77.659,14.578,70.015,19.73,66.673,24.801,47.58,44.022,57.357,42.643,89.28,8.945,82.37,15.462,77.585,21.298,73.014,24.369,71.034,26.69,85.629,12.188,25.532,72.968,43.733,54.656,82.901,16.941,74.605,9.731,71.312,9.18,70.204,12.121,61.09,11.297,59.781,12.853,73.693,23.499,43.693,56.265,27.214,71.782
CBSA,"Boulder, CO",202434,77.506,9.838,64.427,26.585,61.952,25.025,69.323,4.761,69.057,30.998,77.164,15.715,75.926,15.075,68.976,21.781,65.375,27.588,43.985,50.536,55.956,44.044,88.373,9.443,79.873,18.209,79.047,20.177,71.37,25.463,70.156,28.087,85.071,12.802,24.159,74.451,34.864,63.512,84.272,15.912,74.096,8.582,70.535,8.283,67.171,13.565,57.426,12.483,59.804,12.415,74.994,22.412,46.4,53.266,33.743,65.145
CBSA,"Bowling Green, KY",104885,64.502,17.478,52.49,33.115,42.91,31.75,54.016,7.18,53.937,45.756,64.728,24.218,65.573,22.835,55.855,29.42,53.255,35.595,35.639,53.621,44.32,55.679,82.781,14.503,74.419,22.941,62.516,35.773,60.925,35.457,59.999,37.563,80,16.959,33.957,62.957,55.429,41.962,74.582,25.273,63.999,13.349,60.34,14.211,56.806,20.037,53.193,16.628,52.082,17.138,66.777,29.96,31.101,68.592,20.731,77.893
CBSA,"Bozeman, MT",61913,73.283,14.209,56.499,33.765,54.596,30.074,65.149,6.05,61.74,38.121,71.41,19.095,69.604,18.544,62.186,26.33,57.993,33.449,39.656,53.175,49.805,50.195,86.802,10.931,76.218,21.569,69.236,29.663,66.408,30.582,63.853,33.587,83.57,13.806,33.25,64.411,45.738,51.795,80.534,19.485,69.842,10.818,67.411,11.024,62.01,18.148,51.542,16.281,55.683,15.057,70.672,26.702,42.117,57.55,30.525,68.364
CBSA,"Bradford, PA",30138,61.441,19.54,49.552,37.76,40.222,34.405,55.349,6.809,52.897,47.186,63.966,25.479,63.322,25.901,53.826,32.998,50.956,38.838,33.735,56.009,41.403,58.594,82.524,14.805,76.196,20.778,61.836,36.977,62.725,34.077,56.411,40.59,79.08,18.064,39.094,57.462,58.946,38.36,72.108,27.593,63.992,13.369,59.496,14.523,55.544,18.85,50.753,18.478,50.465,18.455,65.24,31.913,29.143,70.824,18.143,80.822
CBSA,"Brainerd, MN",65378,63.772,18.482,51.224,36.092,42.629,34.129,56.169,7.163,53.624,46.176,67.763,24.196,67.705,23.115,56.822,31.056,51.15,38.146,33.889,56.781,43.143,56.856,83.496,13.832,74.126,22.835,64.548,33.996,60.445,36.352,58.57,36.896,79.541,17.576,35.374,60.894,53.246,43.943,73.984,25.111,64.535,12.955,60.429,14.161,56.874,19.526,49.54,17.549,51.214,17.576,67.454,29.254,31.457,68.388,23.311,76.045
CBSA,"Branson, MO",60841,60.223,20.922,50.256,34.695,41.265,33.323,52.233,7.566,51.151,48.497,65.582,25.277,66.312,24.413,55.573,33.062,51.383,39.062,33.716,56.25,41.511,58.489,82.745,14.323,71.938,24.949,62.372,36.398,58.096,39.044,55.617,39.286,77.367,19.387,36.06,60.061,52.935,43.829,72.152,27.887,63.053,14.055,59.555,14.595,55.394,19.865,48.145,18.4,50.353,19.188,65.793,31.84,31.847,67.928,22.818,76.956
CBSA,"Breckenridge, CO",21914,76.631,11.495,61.212,29.515,58.798,26.376,68.413,5.188,66.017,34.006,74.875,16.825,73.428,15.953,65.798,23.373,62.239,29.68,42.735,50.753,53.797,46.199,87.875,9.793,78.493,19.17,75.445,23.359,69.964,26.668,67.518,30.597,84.896,12.973,29.625,69.006,40.956,56.562,83.225,16.766,72.634,9.656,69.686,9.396,65.611,15.798,55.964,13.909,58.328,13.243,73.451,23.798,44.716,54.91,32.144,66.496
CBSA,"Bremerton-Silverdale, WA",176275,73.381,11.315,59.264,29.621,54.368,26.324,66.475,5.583,63.848,36.056,75.66,17.329,74.314,17.557,66.224,24.108,61.668,30.495,42.123,50.408,53.626,46.373,85.218,11.706,77.743,19.624,73.793,25.021,69.452,27.463,63.957,33.388,82.698,14.712,26.574,69.814,40.238,57.367,82.443,17.581,72.005,11.472,69.188,11.07,63.553,17.986,54.541,17.276,58.458,14.8,72.587,23.648,44.332,55.346,30.078,68.845
